,Unnamed: 0,name,year,movie_rated,run_length,genres,release_date,rating,num_raters,num_reviews,review_url,movie_id,clean_title
1058,23,Ted,2012,R,1h 46min,Comedy; ,29 June 2012 (USA),6.9,559723,658,https://www.imdb.com/title/tt1637725/reviews/_ajax?ref_=undefined&paginationKey=,1058,ted
1059,31,Superbad,2007,R,1h 53min,Comedy; ,17 August 2007 (USA),7.6,508483,655,https://www.imdb.com/title/tt0829482/reviews/_ajax?ref_=undefined&paginationKey=,1059,superbad
1060,40,Juno,2007,PG-13,1h 36min,Comedy; ,25 December 2007 (USA),7.4,481757,925,https://www.imdb.com/title/tt0467406/reviews/_ajax?ref_=undefined&paginationKey=,1060,juno
1061,43,500 Days of Summer,2009,PG-13,1h 35min,Comedy; Romance; ,7 August 2009 (USA),7.7,461834,601,https://www.imdb.com/title/tt1022603/reviews/_ajax?ref_=undefined&paginationKey=,1061,500 days of summer
1062,44,"Crazy, Stupid, Love",2011,PG-13,1h 58min,Comedy; Romance; ,29 July 2011 (USA),7.4,460023,370,https://www.imdb.com/title/tt1570728/reviews/_ajax?ref_=undefined&paginationKey=,1062,"crazy, stupid, love"
1063,45,Deadpool 2,2018,R,1h 59min,Comedy; ,18 May 2018 (USA),7.7,455361,1310,https://www.imdb.com/title/tt5463162/reviews/_ajax?ref_=undefined&paginationKey=,1063,deadpool 2
1064,46,The Hangover Part II,2011,R,1h 42min,Comedy; ,26 May 2011 (USA),6.4,453967,421,https://www.imdb.com/title/tt1411697/reviews/_ajax?ref_=undefined&paginationKey=,1064,the hangover part ii
1065,48,Home Alone,1990,PG,1h 43min,Comedy; ,16 November 1990 (USA),7.6,448866,422,https://www.imdb.com/title/tt0099785/reviews/_ajax?ref_=undefined&paginationKey=,1065,home alone
1066,51,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,PG,1h 35min,Comedy; ,29 January 1964 (USA),8.4,438092,933,https://www.imdb.com/title/tt0057012/reviews/_ajax?ref_=undefined&paginationKey=,1066,dr. strangelove or: how i learned to stop worrying and love the bomb
1067,52,Little Miss Sunshine,2006,R,1h 41min,Comedy; ,18 August 2006 (USA),7.8,429216,950,https://www.imdb.com/title/tt0449059/reviews/_ajax?ref_=undefined&paginationKey=,1067,little miss sunshine
1068,56,Love Actually,2003,R,2h 15min,Comedy; Romance; ,14 November 2003 (USA),7.6,413896,1136,https://www.imdb.com/title/tt0314331/reviews/_ajax?ref_=undefined&paginationKey=,1068,love actually
1069,57,Charlie and the Chocolate Factory,2005,PG,1h 55min,Comedy; ,15 July 2005 (USA),6.6,413780,1436,https://www.imdb.com/title/tt0367594/reviews/_ajax?ref_=undefined&paginationKey=,1069,charlie and the chocolate factory
1070,59,Dead Poets Society,1989,PG,2h 8min,Comedy; ,9 June 1989 (USA),8.1,407018,626,https://www.imdb.com/title/tt0097165/reviews/_ajax?ref_=undefined&paginationKey=,1070,dead poets society
1071,61,Lost in Translation,2003,R,1h 42min,Comedy; ,3 October 2003 (USA),7.7,399082,1974,https://www.imdb.com/title/tt0335266/reviews/_ajax?ref_=undefined&paginationKey=,1071,lost in translation
1072,63,The Terminal,2004,PG-13,2h 8min,Comedy; Romance; ,18 June 2004 (USA),7.4,393039,702,https://www.imdb.com/title/tt0362227/reviews/_ajax?ref_=undefined&paginationKey=,1072,the terminal
1073,66,The 40-Year-Old Virgin,2005,R,1h 56min,Comedy; Romance; ,19 August 2005 (USA),7.1,384072,587,https://www.imdb.com/title/tt0405422/reviews/_ajax?ref_=undefined&paginationKey=,1073,the 40-year-old virgin
1074,69,This Is the End,2013,R,1h 47min,Comedy; ,12 June 2013 (USA),6.6,376448,760,https://www.imdb.com/title/tt1245492/reviews/_ajax?ref_=undefined&paginationKey=,1074,this is the end
1075,72,American Pie,1999,R,1h 35min,Comedy; ,9 July 1999 (USA),7.0,368148,807,https://www.imdb.com/title/tt0163651/reviews/_ajax?ref_=undefined&paginationKey=,1075,american pie
1076,78,The Devil Wears Prada,2006,PG-13,1h 49min,Comedy; ,30 June 2006 (USA),6.9,359709,705,https://www.imdb.com/title/tt0458352/reviews/_ajax?ref_=undefined&paginationKey=,1076,the devil wears prada
1077,79,Monty Python's Life of Brian,1979,R,1h 34min,Comedy; ,17 August 1979 (USA),8.1,356682,392,https://www.imdb.com/title/tt0079470/reviews/_ajax?ref_=undefined&paginationKey=,1077,monty python's life of brian
