Unnamed: 0.1,Unnamed: 0,name,year,movie_rated,run_length,genres,release_date,rating,num_raters,num_reviews,review_url,movie_id,clean_title,imdb_id,description
772,94,Blue Crush,2002,PG-13,1h 44min,Drama; Romance; Sport; ,16 August 2002 (USA),5.6,29521,212,https://www.imdb.com/title/tt0300532/reviews/_ajax?ref_=undefined&paginationKey=,772,blue crush,tt0300532,"As a hard-core surfer girl prepares for a big competition, she finds herself falling for a football player."
773,95,The Football Factory,2004,R,1h 31min,Crime; Drama; Sport; ,14 May 2004 (UK),6.8,28140,117,https://www.imdb.com/title/tt0385705/reviews/_ajax?ref_=undefined&paginationKey=,773,the football factory,tt0385705,"An insight on the gritty life of a bored male, Chelsea football hooligan who lives for violence, sex, drugs & alcohol."
774,96,Hardball,2001,PG-13,1h 46min,Drama; Sport; ,14 September 2001 (USA),6.4,27587,134,https://www.imdb.com/title/tt0180734/reviews/_ajax?ref_=undefined&paginationKey=,774,hardball,tt0180734,A gambling addict and ticket scalper living an aimless life reluctantly agrees to coach a Little League team from the Chicago projects as part of a loan agreement.
775,97,The Greatest Game Ever Played,2005,PG,2h,Biography; Drama; Sport; ,30 September 2005 (USA),7.4,27289,119,https://www.imdb.com/title/tt0388980/reviews/_ajax?ref_=undefined&paginationKey=,775,the greatest game ever played,tt0388980,"In the 1913 U.S. Open, twenty-year-old Francis Ouimet played golf against his idol, 1900 U.S. Open champion, Englishman Harry Vardon."
776,98,Victory,1981,PG,1h 56min,Drama; Sport; War; ,31 July 1981 (USA),6.7,26806,108,https://www.imdb.com/title/tt0083284/reviews/_ajax?ref_=undefined&paginationKey=,776,victory,tt0083284,"As allied P.O.W.s prepare for a soccer game against the German National Team to be played in Nazi-occupied Paris, the French Resistance and British officers are making plans for the team's escape."
777,99,Peaceful Warrior,2006,PG-13,2h,Drama; Romance; Sport; ,23 June 2006 (USA),7.3,26084,192,https://www.imdb.com/title/tt0438315/reviews/_ajax?ref_=undefined&paginationKey=,777,peaceful warrior,tt0438315,"Dan, a college student and a world-champion gymnast, is disturbed and wants to add some meaning to his life. A chance encounter leads him to discover an enlightened way ahead."
778,13,Sin City,2005,R,2h 4min,Crime; Thriller; ,1 April 2005 (USA),8.0,731421,1777,https://www.imdb.com/title/tt0401792/reviews/_ajax?ref_=undefined&paginationKey=,778,sin city,tt0401792,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption."
779,30,Limitless,2011,PG-13,1h 45min,Sci-Fi; Thriller; ,18 March 2011 (USA),7.4,516619,485,https://www.imdb.com/title/tt1219289/reviews/_ajax?ref_=undefined&paginationKey=,779,limitless,tt1219289,"A mysterious pill that enables the user to access 100% of his brain's abilities transforms a struggling writer into a financial wizard, but it also puts him in a new world with many dangers."
780,33,Ocean's Eleven,2001,PG-13,1h 56min,Crime; Thriller; ,7 December 2001 (USA),7.7,500923,932,https://www.imdb.com/title/tt0240772/reviews/_ajax?ref_=undefined&paginationKey=,780,ocean's eleven,tt0240772,"Danny Ocean, a gangster, rounds up a gang of associates to stage a sophisticated and elaborate casino heist which involves robbing three Las Vegas casinos simultaneously during a popular boxing event."
781,37,Children of Men,2006,R,1h 49min,Drama; Sci-Fi; Thriller; ,5 January 2007 (USA),7.9,452558,1342,https://www.imdb.com/title/tt0206634/reviews/_ajax?ref_=undefined&paginationKey=,781,children of men,tt0206634,"In 2027, in a chaotic world in which women have somehow become infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea."
782,38,Mission: Impossible - Ghost Protocol,2011,PG-13,2h 12min,Action; Adventure; Thriller; ,21 December 2011 (USA),7.4,447114,576,https://www.imdb.com/title/tt1229238/reviews/_ajax?ref_=undefined&paginationKey=,782,mission: impossible - ghost protocol,tt1229238,"The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name."
783,39,Nightcrawler,2014,R,1h 57min,Crime; Drama; Thriller; ,31 October 2014 (USA),7.9,443662,758,https://www.imdb.com/title/tt2872718/reviews/_ajax?ref_=undefined&paginationKey=,783,nightcrawler,tt2872718,A petty thief desperate for work muscles into the world of crime journalism and becomes the star of his own story as he blurs the line between observer and participant.
